"order_id","order_date","store_id"
"R_0043417",2016-04-16,"TW_10176"
"R_0021436",2016-04-23,"TW_10078"
"R_0030880",2016-06-04,"TW_10101"
"R_0040521",2016-04-09,"TW_10021"
"R_0007474",2016-05-28,"TW_10040"
"R_0002500",2016-03-05,"TW_10010"
"R_0005826",2016-08-20,"TW_10065"
"R_0032006",2016-03-05,"TW_10078"
"R_0034559",2016-04-30,"TW_10073"
"R_0027566",2016-03-12,"TW_10068"
"R_0025782",2016-06-18,"TW_10112"
"R_0040301",2016-02-13,"TW_10134"
"R_0024984",2016-03-26,"TW_10147"
"R_0000476",2016-07-23,"TW_10066"
"R_0016706",2016-05-21,"TW_10139"
"R_0037534",2016-06-18,"TW_10120"
"R_0017242",2016-05-14,"TW_10124"
"R_0022682",2016-02-27,"TW_10093"
"R_0013442",2016-09-24,"TW_10122"
"R_0021867",2016-07-16,"TW_10037"
"R_0013473",2016-03-19,"TW_10085"
"R_0044817",2016-07-16,"TW_10162"
"R_0033152",2016-01-09,"TW_10073"
"R_0034561",2016-01-02,"TW_10158"
"R_0019767",2016-01-09,"TW_10077"
"R_0034449",2016-07-02,"TW_10096"
"R_0032163",2016-06-18,"TW_10168"
"R_0040828",2016-09-17,"TW_10142"
"R_0002348",2016-06-11,"TW_10048"
"R_0007016",2016-06-18,"TW_10043"
"R_0038699",2016-04-09,"TW_10149"
"R_0043458",2016-06-25,"TW_10107"
"R_0027706",2016-06-11,"TW_10006"
"R_0002187",2016-01-30,"TW_10050"
"R_0044206",2016-09-10,"TW_10029"
"R_0036651",2016-01-23,"TW_10132"
"R_0019925",2016-03-12,"TW_10173"
"R_0032091",2016-09-24,"TW_10057"
"R_0007041",2016-04-16,"TW_10167"
"R_0025116",2016-09-24,"TW_10020"
"R_0014105",2016-08-27,"TW_10173"
"R_0041267",2016-01-23,"TW_10130"
"R_0019241",2016-07-16,"TW_10082"
"R_0020775",2016-02-06,"TW_10070"
"R_0024716",2016-02-27,"TW_10023"
"R_0003184",2016-01-02,"TW_10175"
"R_0024941",2016-08-27,"TW_10154"
"R_0036058",2016-06-25,"TW_10076"
"R_0033998",2016-02-20,"TW_10096"
"R_0023254",2016-05-14,"TW_10075"
"R_0016064",2016-01-30,"TW_10066"
"R_0043855",2016-02-20,"TW_10058"
"R_0004073",2016-02-06,"TW_10041"
"R_0027329",2016-06-11,"TW_10014"
"R_0028903",2016-03-19,"TW_10104"
"R_0028154",2016-01-09,"TW_10015"
"R_0020109",2016-07-30,"TW_10132"
"R_0042799",2016-08-20,"TW_10131"
