"order_id","product_id","sale_n"
"R_0043417","PD_186",1
"R_0021436","PD_077",1
"R_0030880","PD_115",2
"R_0040521","PD_256",5
"R_0007474","PD_256",9
"R_0002500","PD_108",3
"R_0005826","PD_109",11
"R_0032006","PD_135",5
"R_0034559","PD_268",9
"R_0027566","PD_262",1
"R_0025782","PD_255",11
"R_0040301","PD_003",9
"R_0024984","PD_077",9
"R_0000476","PD_200",9
"R_0016706","PD_187",5
"R_0037534","PD_200",6
"R_0017242","PD_186",3
"R_0022682","PD_215",1
"R_0013442","PD_197",10
"R_0021867","PD_198",9
"R_0013473","PD_002",10
"R_0044817","PD_200",2
"R_0033152","PD_077",9
"R_0034561","PD_184",1
"R_0019767","PD_117",2
"R_0034449","PD_135",2
"R_0032163","PD_173",2
"R_0040828","PD_093",1
"R_0002348","PD_225",1
"R_0007016","PD_093",3
"R_0038699","PD_262",9
"R_0043458","PD_115",9
"R_0027706","PD_200",7
"R_0002187","PD_003",2
"R_0044206","PD_085",11
"R_0036651","PD_262",1
"R_0019925","PD_115",10
"R_0032091","PD_088",9
"R_0007041","PD_111",1
"R_0025116","PD_198",11
"R_0014105","PD_109",11
"R_0041267","PD_111",1
"R_0019241","PD_197",10
"R_0020775","PD_108",6
"R_0024716","PD_112",1
"R_0003184","PD_108",3
"R_0024941","PD_078",1
"R_0036058","PD_217",1
"R_0033998","PD_093",9
"R_0023254","PD_112",1
"R_0016064","PD_268",1
"R_0043855","PD_118",3
"R_0004073","PD_259",3
"R_0027329","PD_087",1
"R_0028903","PD_115",3
"R_0028154","PD_112",11
"R_0020109","PD_111",7
"R_0042799","PD_002",1
"R_0001697","PD_198",9
"R_0038965","PD_085",6
"R_0001959","PD_091",3
"R_0041008","PD_217",1
"R_0029507","PD_117",10
"R_0020811","PD_114",5
"R_0036409","PD_269",9
"R_0034568","PD_094",2
"R_0012814","PD_268",1
"R_0018123","PD_124",11
"R_0021049","PD_255",5
"R_0027320","PD_117",1
"R_0018236","PD_090",3
"R_0009492","PD_134",11
"R_0025453","PD_186",9
"R_0010753","PD_118",1
"R_0015844","PD_184",11
"R_0039221","PD_090",1
"R_0011792","PD_225",11
"R_0044513","PD_093",10
"R_0010531","PD_109",1
"R_0005549","PD_184",8
"R_0041066","PD_085",10
"R_0035240","PD_090",12
"R_0008792","PD_118",2
"R_0017594","PD_173",2
"R_0028419","PD_200",10
"R_0022337","PD_124",1
"R_0042006","PD_090",1
"R_0040209","PD_078",9
"R_0001681","PD_215",11
"R_0004003","PD_215",2
"R_0011103","PD_268",7
"R_0003982","PD_258",4
"R_0025852","PD_111",5
"R_0033629","PD_115",6
"R_0021178","PD_183",8
"R_0041756","PD_200",1
"R_0025245","PD_198",1
"R_0043020","PD_115",11
"R_0039198","PD_111",7
"R_0026394","PD_216",9
"R_0035658","PD_112",1
"R_0043966","PD_187",6
"R_0033580","PD_187",10
"R_0039162","PD_125",2
"R_0009880","PD_218",10
"R_0012236","PD_184",1
"R_0025103","PD_183",8
"R_0006355","PD_134",4
"R_0036256","PD_078",2
"R_0020795","PD_093",11
"R_0043161","PD_088",1
"R_0038458","PD_114",1
"R_0038375","PD_085",11
"R_0026718","PD_002",9
"R_0032546","PD_262",10
"R_0024904","PD_225",5
"R_0010140","PD_186",3
"R_0044153","PD_224",6
"R_0010700","PD_262",9
"R_0019200","PD_125",9
"R_0009045","PD_077",8
"R_0029458","PD_216",6
"R_0000999","PD_109",11
"R_0025429","PD_117",3
"R_0019170","PD_255",3
"R_0000667","PD_125",3
"R_0024282","PD_200",6
"R_0001555","PD_094",9
"R_0015885","PD_256",3
"R_0029162","PD_261",10
"R_0025890","PD_087",7
"R_0017564","PD_108",1
"R_0036023","PD_114",9
"R_0037970","PD_109",1
"R_0041248","PD_268",1
"R_0000959","PD_090",3
"R_0012892","PD_261",11
"R_0013977","PD_225",1
"R_0010486","PD_088",6
"R_0004487","PD_217",3
"R_0034064","PD_200",9
"R_0006279","PD_111",8
"R_0023679","PD_002",1
"R_0016392","PD_217",7
"R_0022492","PD_124",11
"R_0013027","PD_173",11
"R_0025486","PD_118",1
"R_0004901","PD_255",6
"R_0017556","PD_216",8
"R_0043584","PD_108",5
"R_0027169","PD_134",6
"R_0026527","PD_112",9
"R_0016060","PD_197",9
"R_0003512","PD_087",1
"R_0026490","PD_094",1
"R_0028398","PD_255",9
"R_0021900","PD_108",2
"R_0032080","PD_108",6
"R_0040962","PD_269",6
"R_0007603","PD_002",10
"R_0033261","PD_217",5
"R_0001491","PD_003",11
"R_0016394","PD_269",2
"R_0033834","PD_269",10
"R_0022133","PD_084",9
"R_0013777","PD_091",1
"R_0005017","PD_261",9
"R_0012914","PD_186",8
"R_0000573","PD_117",11
"R_0024882","PD_184",2
"R_0015530","PD_217",2
"R_0022685","PD_256",5
"R_0035250","PD_108",10
"R_0014657","PD_258",5
"R_0042509","PD_262",9
"R_0004712","PD_259",2
"R_0025086","PD_111",2
"R_0022907","PD_225",2
"R_0037043","PD_114",1
"R_0029526","PD_201",1
"R_0044214","PD_198",2
"R_0013998","PD_077",1
"R_0031994","PD_215",9
"R_0030182","PD_115",3
"R_0011330","PD_003",1
"R_0039519","PD_200",10
"R_0009729","PD_268",9
"R_0029375","PD_108",11
"R_0003845","PD_261",1
"R_0016295","PD_135",3
"R_0037228","PD_087",5
"R_0000095","PD_216",2
"R_0039428","PD_224",1
"R_0023482","PD_197",11
"R_0025572","PD_198",10
"R_0005093","PD_268",11
"R_0015656","PD_091",1
"R_0017446","PD_218",9
"R_0026564","PD_084",10
"R_0036087","PD_259",6
"R_0024888","PD_184",1
"R_0007992","PD_077",3
"R_0022760","PD_134",10
"R_0019394","PD_198",6
"R_0009290","PD_216",1
"R_0028484","PD_224",6
"R_0031739","PD_084",3
"R_0023763","PD_134",1
"R_0012918","PD_224",5
"R_0044998","PD_090",11
"R_0040355","PD_135",4
"R_0039570","PD_218",3
"R_0037130","PD_117",10
"R_0026635","PD_093",11
"R_0006530","PD_090",10
"R_0014586","PD_201",2
"R_0041722","PD_268",2
"R_0005937","PD_256",1
"R_0002017","PD_108",1
"R_0026204","PD_255",1
"R_0020214","PD_087",7
"R_0002410","PD_003",2
"R_0011393","PD_256",11
"R_0026231","PD_087",3
"R_0006695","PD_259",1
"R_0028239","PD_077",8
"R_0024253","PD_198",1
"R_0018029","PD_118",6
"R_0022202","PD_003",11
"R_0019891","PD_256",5
"R_0014999","PD_198",1
"R_0012583","PD_078",9
"R_0040161","PD_261",9
"R_0005163","PD_124",11
"R_0019280","PD_268",10
"R_0042379","PD_091",11
"R_0015842","PD_259",11
"R_0016031","PD_187",1
"R_0025120","PD_255",10
"R_0038338","PD_225",6
"R_0033703","PD_134",2
"R_0020519","PD_201",6
"R_0029731","PD_077",10
"R_0003661","PD_201",1
"R_0025438","PD_198",5
"R_0016236","PD_216",4
"R_0029769","PD_087",9
"R_0031824","PD_090",11
"R_0027646","PD_256",9
"R_0038714","PD_115",6
"R_0005302","PD_084",11
"R_0035556","PD_118",12
"R_0042886","PD_215",1
"R_0020827","PD_261",1
"R_0006014","PD_255",8
"R_0010759","PD_224",9
"R_0039403","PD_224",6
"R_0041282","PD_078",9
"R_0005842","PD_187",5
"R_0036060","PD_258",2
"R_0028859","PD_108",3
"R_0043868","PD_088",11
"R_0023522","PD_114",10
"R_0004226","PD_268",3
"R_0018400","PD_215",9
"R_0006154","PD_085",10
"R_0015608","PD_218",9
"R_0026575","PD_114",1
"R_0044868","PD_112",6
"R_0025874","PD_173",6
"R_0014408","PD_124",8
"R_0014898","PD_112",9
"R_0003546","PD_198",10
"R_0002729","PD_200",6
"R_0034093","PD_115",11
"R_0024131","PD_186",3
"R_0031742","PD_215",3
"R_0038146","PD_269",3
"R_0016792","PD_108",9
"R_0029250","PD_262",1
"R_0017071","PD_216",6
"R_0029434","PD_200",1
"R_0009455","PD_255",11
"R_0032427","PD_197",10
"R_0027270","PD_255",9
"R_0000072","PD_259",10
"R_0008430","PD_258",9
"R_0001745","PD_111",10
"R_0000127","PD_225",10
"R_0003582","PD_124",6
"R_0018462","PD_197",6
"R_0016484","PD_090",11
"R_0014184","PD_087",6
"R_0023534","PD_225",1
"R_0018839","PD_256",7
"R_0040030","PD_088",11
"R_0004997","PD_173",11
"R_0005079","PD_186",1
"R_0033478","PD_135",6
"R_0022914","PD_135",5
"R_0043781","PD_198",6
"R_0012301","PD_111",1
"R_0010682","PD_198",1
"R_0000559","PD_085",2
"R_0019852","PD_002",10
"R_0035829","PD_197",10
"R_0024344","PD_084",9
"R_0034450","PD_114",1
"R_0036014","PD_187",9
"R_0012824","PD_112",1
"R_0001693","PD_112",9
"R_0018769","PD_216",9
"R_0011381","PD_261",9
"R_0014578","PD_259",3
"R_0010126","PD_118",11
"R_0000712","PD_184",9
"R_0011321","PD_268",9
"R_0030406","PD_224",8
"R_0032181","PD_173",5
"R_0038170","PD_115",1
"R_0044932","PD_262",10
"R_0021597","PD_186",9
"R_0039573","PD_118",11
"R_0024617","PD_255",10
"R_0011301","PD_078",6
"R_0032823","PD_117",6
"R_0035719","PD_093",1
"R_0034011","PD_268",11
"R_0004450","PD_215",11
"R_0030304","PD_255",9
"R_0021548","PD_174",9
"R_0040653","PD_186",1
"R_0035665","PD_173",1
"R_0041415","PD_094",8
"R_0019430","PD_125",11
"R_0028779","PD_094",2
"R_0011314","PD_077",1
"R_0009970","PD_087",1
"R_0020464","PD_256",1
"R_0012394","PD_215",3
"R_0043964","PD_268",9
"R_0002086","PD_125",1
"R_0027991","PD_091",6
"R_0029267","PD_198",2
"R_0016212","PD_262",10
"R_0009027","PD_078",8
"R_0018006","PD_173",9
"R_0031405","PD_112",6
