DATE,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2016/5/1,4974,9280,19263,49982,14177,9312,7858,3475,2206,9882,1565,4101,9259,7266,12416,6205,6557,3352,6169,3000,5458,5929,1793,20909,2187,11064,8943,12143,14377,14590,7602,31006,18387,22916,26207,4148,28845,21124,18175,17094,11374,169190,40680,16250,18349,28648,35103,26680,23391,7831,22521,5090,4658,14893,7170,2681,1909,9099,7893,5541,42315,5188,12746,5668,17019,12699,24823,38851,29290,18823,26817,79719,16401,31383,34794,20193,52445,13820,13582,8946,9004,7216,31048,11539,10011,5406,17955,15148,14012,16177,8734,9556,3531,2124,3466,6567,7870,8779,12282,19308,23716,8940,9487,10194,9038,9763,6965,6849
2016/5/2,5165,10318,23687,49074,18689,12152,9089,3454,2309,12879,1634,4250,9666,9523,9808,8224,8549,4955,7169,3754,7120,7353,2052,18911,2055,11473,10244,13782,16747,14471,7833,27630,16011,26242,26141,9360,32707,23111,20516,18219,21769,137420,36828,20984,18936,26708,35315,29979,20172,11606,29263,5819,5499,17580,6292,2770,2656,11990,9382,5970,44339,5178,12150,6218,18559,16245,23798,36990,33357,21936,27209,64781,18578,28049,32370,16748,50157,16028,15439,12141,10841,8551,24685,12631,7068,6857,21754,15273,15323,15756,12218,10003,3533,2305,3631,8067,8050,10552,13916,20723,24311,9638,10899,10574,10104,10356,7472,6926
2016/5/3,5825,15960,39070,48327,25162,15490,11812,3802,3056,15907,2032,4634,7232,10695,10163,18460,15613,5512,7816,2942,8431,8370,4299,27287,2159,10920,11866,15581,20513,16520,8883,26819,18959,33382,30098,10249,36554,26655,25252,20899,26487,134923,39765,24320,25170,26373,35646,29851,24403,13030,31800,7407,8226,19671,5584,3313,3096,13733,10117,7196,36357,6579,12065,6604,21072,19626,26531,37588,40141,25990,27558,63986,24274,30386,37975,21595,54146,20282,16942,15790,12270,9677,27683,17538,7101,8246,39482,22777,22172,20952,13428,11661,4213,4297,4434,9581,8771,11955,17679,29486,26322,11658,12337,12142,11867,11675,8511,8098
2016/5/4,5818,16402,39459,49292,25175,15723,11937,3883,3046,16034,2079,4729,7389,10840,10249,18871,15687,5468,8026,3160,8485,8536,4341,27864,2317,11035,12043,15914,20929,16575,8975,27571,18922,34155,31416,10450,37255,27251,25408,21068,26660,137259,41757,25137,24991,26625,36031,30699,25539,13082,32254,7275,8117,19333,5682,3512,3170,13937,10291,7258,36999,6619,12305,6911,21367,19808,26828,38709,40132,26281,28504,65797,24872,31330,39551,22565,55757,20460,17069,16015,12490,9851,27783,17838,7369,8253,40513,22799,22157,21264,13779,11833,4299,4275,4399,9558,8990,11881,17987,29404,26587,11918,12551,12322,11784,11792,8645,8153
2016/5/5,6195,16457,40653,51121,26200,16081,12153,3879,3011,15719,2060,4668,6609,10837,10739,18675,15909,5616,8063,3034,8749,8327,4538,29507,2416,10850,12161,16174,21224,16667,9175,27422,19147,34404,31864,10194,37681,27292,25750,21107,26006,146120,41769,24286,25887,26651,35470,30563,23738,12994,32267,7398,8493,19441,5463,3361,3125,14018,10075,7248,37083,6675,12420,6836,21321,19994,27109,39493,40532,26269,27617,66164,24697,31698,39871,22975,58370,20979,17046,16000,12804,9721,28749,17932,6915,8097,40974,23417,22739,21066,13706,11754,4270,4277,4483,9568,9058,12015,18129,29404,26887,11823,12618,12380,12092,11971,8725,8140
2016/5/6,6928,17522,42688,61967,27874,16928,12390,3949,3110,16078,2130,4881,7872,10648,12355,19323,16683,6032,8714,3433,9067,9123,4693,32164,2489,11464,12982,17468,22553,18343,9598,30980,21701,36684,34346,10246,39579,28833,27238,22446,27300,202838,48198,25762,27016,29438,40259,33088,25839,13605,33187,7847,8986,20741,6071,3659,3235,13925,10624,7481,39643,7381,13613,7621,23092,20203,30761,46690,42525,28022,29297,78855,25472,35708,46174,26161,70572,21939,18516,16782,13625,10750,36462,19556,7749,8818,42980,24315,24268,23445,13519,13396,4544,4590,4818,9991,9875,12536,18949,31020,29150,12765,13363,13334,12538,12707,9485,8678
2016/5/7,5000,11123,24962,58653,16930,11929,8801,3752,2462,10317,1816,3340,7921,7198,12605,6699,7014,3992,7351,4732,6261,6894,2148,21705,2340,11388,10203,13429,16250,14417,8413,32418,19622,29849,32753,5086,32585,23697,20968,19220,14515,182864,45247,20482,18262,33089,36912,30755,21798,9559,25018,5884,6069,15772,6337,3072,2293,9272,8835,6303,38733,5738,12945,6493,18307,14594,28019,42713,33161,22243,28437,83849,18187,31526,41236,24733,59748,18596,15556,10165,9681,8313,31703,13819,9685,6392,21782,21161,16790,17763,9266,12413,4129,2459,3995,8076,9142,9506,13256,21782,26136,10810,10819,11550,9973,11011,7908,7627
2016/5/8,4837,8284,17698,44665,11587,8383,6729,3373,1990,9294,1295,2651,7177,5936,11340,5287,5539,3493,5959,2683,4989,5632,2070,16185,1908,9566,8741,11408,13519,12257,7651,24655,15777,20784,29744,3539,27198,19312,17832,16615,10941,155616,34201,13833,15494,26813,29205,23362,22624,7469,21110,5222,4445,14091,5553,2575,1754,7986,7792,5313,39964,5452,11170,5394,16116,11532,21790,35882,28037,18269,22874,62415,12077,23363,28648,19907,52629,13358,12454,9073,8281,6168,26776,10140,7201,4747,15061,16958,12766,13107,8146,10147,3621,1990,3115,6266,7451,7541,10780,16277,19782,8587,8958,10024,8452,9305,6606,6691
2016/5/9,6014,15399,36576,44117,23899,15199,11199,3667,2969,15420,1963,4536,5509,10529,9623,18049,15250,5333,7656,2895,8352,7956,4274,26654,2149,10231,11775,15749,20612,16240,8614,26978,17914,32144,27165,9817,35778,25946,24926,20640,25665,135486,33802,22941,23960,24735,32911,27769,22355,12795,31712,7140,7834,18416,4574,3232,3105,13780,9984,7207,38235,6478,11834,6803,20836,19233,25872,37426,38928,25467,25703,59835,20573,29407,36979,20401,55124,18998,17005,15527,12175,9182,27795,16746,6592,7787,37489,21848,21389,20222,13871,11355,4293,4144,4458,9209,8819,11295,16614,27419,22377,11357,12202,12011,11766,11418,8531,8152
2016/5/10,5806,15790,38278,46039,25061,15787,11886,3957,2911,16319,2087,4597,5655,10618,10154,18687,15937,5565,8036,3018,8315,8419,4401,27165,2279,10485,12133,15822,21087,16570,9167,26803,18772,33758,29045,10084,37428,27156,25889,21260,26429,130216,35031,23111,24308,26081,32403,28361,22937,13012,32021,7442,8551,18963,5256,3438,3100,13845,10109,7162,35229,6669,12263,6695,21223,19917,26755,38394,40270,25959,26344,60429,23803,30847,38131,21265,54478,20584,17287,16015,12398,9221,24459,17388,6926,7797,38562,22250,22325,20492,13486,11797,4364,4357,4376,9600,9108,11409,17452,28188,23543,11577,12348,12267,11884,11711,8602,7900
