"id","pokemon","height","weight","base_experience","type_1","type_2","attack","defense","hp","special_attack","special_defense","speed"
1,"bulbasaur",7,69,64,"grass","poison",49,49,45,65,65,45
2,"ivysaur",10,130,142,"grass","poison",62,63,60,80,80,60
3,"venusaur",20,1000,236,"grass","poison",82,83,80,100,100,80
4,"charmander",6,85,62,"fire",NA,52,43,39,60,50,65
5,"charmeleon",11,190,142,"fire",NA,64,58,58,80,65,80
6,"charizard",17,905,240,"fire","flying",84,78,78,109,85,100
7,"squirtle",5,90,63,"water",NA,48,65,44,50,64,43
8,"wartortle",10,225,142,"water",NA,63,80,59,65,80,58
9,"blastoise",16,855,239,"water",NA,83,100,79,85,105,78
10,"caterpie",3,29,39,"bug",NA,30,35,45,20,20,45
11,"metapod",7,99,72,"bug",NA,20,55,50,25,25,30
12,"butterfree",11,320,178,"bug","flying",45,50,60,90,80,70
13,"weedle",3,32,39,"bug","poison",35,30,40,20,20,50
14,"kakuna",6,100,72,"bug","poison",25,50,45,25,25,35
15,"beedrill",10,295,178,"bug","poison",90,40,65,45,80,75
16,"pidgey",3,18,50,"normal","flying",45,40,40,35,35,56
17,"pidgeotto",11,300,122,"normal","flying",60,55,63,50,50,71
18,"pidgeot",15,395,216,"normal","flying",80,75,83,70,70,101
19,"rattata",3,35,51,"normal",NA,56,35,30,25,35,72
20,"raticate",7,185,145,"normal",NA,81,60,55,50,70,97
21,"spearow",3,20,52,"normal","flying",60,30,40,31,31,70
22,"fearow",12,380,155,"normal","flying",90,65,65,61,61,100
23,"ekans",20,69,58,"poison",NA,60,44,35,40,54,55
24,"arbok",35,650,153,"poison",NA,85,69,60,65,79,80
25,"pikachu",4,60,112,"electric",NA,55,40,35,50,50,90
26,"raichu",8,300,218,"electric",NA,90,55,60,90,80,110
27,"sandshrew",6,120,60,"ground",NA,75,85,50,20,30,40
28,"sandslash",10,295,158,"ground",NA,100,110,75,45,55,65
29,"nidoran-f",4,70,55,"poison",NA,47,52,55,40,40,41
30,"nidorina",8,200,128,"poison",NA,62,67,70,55,55,56
